sku_code,tier,width_in,roll_length_ft,gauge_mil,clarity_retained_pct,self_healing,hydrophobic_angle_deg,uv_rejection_pct,finish,warranty_statement,dealer_price,withdrawn_date,image
AG-G-24,Guard ,24,100,6.5,88,Yes,98,96,Gloss,"Seven year limited warranty against yellowing, cracking, peeling and delamination.",980,,C:\Apexguard\rollart\ag-g-24.png
AG-G-30,Guard ,30,100,6.5,88,Yes,98,96,Gloss,"Seven year limited warranty against yellowing, cracking, peeling and delamination.",1180,,C:\Apexguard\rollart\ag-g-30.png
AG-G-36,Guard ,36,100,6.5,88,Yes,98,96,Gloss,"Seven year limited warranty against yellowing, cracking, peeling and delamination.",1380,,C:\Apexguard\rollart\ag-g-36.png
AG-G-48,Guard ,48,100,6.5,88,Yes,98,96,Gloss,"Seven year limited warranty against yellowing, cracking, peeling and delamination.",1720,,C:\Apexguard\rollart\ag-g-48.png
AG-GP-24,Guard Pro ,24,100,7.5,90,Yes,105,98,Gloss,"Ten year limited warranty against yellowing, cracking, peeling and delamination.",1480,,C:\Apexguard\rollart\ag-gp-24.png
AG-GP-30,Guard Pro ,30,100,7.5,90,Yes,105,98,Gloss,"Ten year limited warranty against yellowing, cracking, peeling and delamination.",1760,,C:\Apexguard\rollart\ag-gp-30.png
AG-GP-36,Guard Pro ,36,100,7.5,90,Yes,105,98,Gloss,"Ten year limited warranty against yellowing, cracking, peeling and delamination.",2050,,C:\Apexguard\rollart\ag-gp-36.png
AG-GP-48,Guard Pro ,48,100,7.5,90,Yes,105,98,Gloss,"Ten year limited warranty against yellowing, cracking, peeling and delamination.",2540,,C:\Apexguard\rollart\ag-gp-48.png
AG-GE-30,Guard Elite ,30,100,8.0,92,Yes,110,99,Gloss,"Twelve year limited warranty against yellowing, cracking, peeling and delamination.",2680,,C:\Apexguard\rollart\ag-ge-30.png
AG-GE-36,Guard Elite ,36,100,8.0,92,Yes,110,99,Gloss,"Apexguard warrants this film for twelve years from the date of professional installation by an Apexguard authorised installer against yellowing, cracking, peeling, bubbling, staining and delamination under normal passenger-vehicle use, subject to the exclusions, care requirements and claim procedures set out in the Apexguard Limited Warranty certificate issued to the vehicle owner at installation.",3120,,C:\Apexguard\rollart\ag-ge-36.png
AG-GE-48,Guard Elite ,48,100,8.0,92,Yes,110,99,Gloss,"Apexguard warrants this film for a period of twelve years from the original professional installation date against yellowing, cracking, peeling, bubbling, adhesive failure and delamination, provided the film is installed by an Apexguard authorised installer and maintained per the published care guidelines, and subject in all respects to the terms, limitations and claim process in the Apexguard Limited Warranty document.",3760,,C:\Apexguard\rollart\ag-ge-48.png
AG-GE-60,Guard Elite ,60,100,8.0,92,Yes,110,99,Gloss,"Apexguard warrants this film against yellowing, cracking, peeling, bubbling, staining, adhesive failure and delamination for twelve years from the date of professional installation, subject to normal use, installation by an Apexguard authorised installer, adherence to the published care and maintenance guidelines, and the full terms, exclusions and claim procedures set out in the Apexguard Limited Warranty certificate.",4200,,C:\Apexguard\rollart\ag-ge-60.png
AG-G-60,Guard ,60,100,6.5,88,Yes,98,96,Gloss,"Seven year limited warranty against yellowing, cracking, peeling and delamination.",2050,2025-11-15,C:\Apexguard\rollart\ag-g-60.png
AG-GP-60,Guard Pro ,60,100,7.5,90,Yes,105,98,Gloss,"Ten year limited warranty against yellowing, cracking, peeling and delamination.",2980,2025-11-15,C:\Apexguard\rollart\ag-gp-60.png
